,0
153,874.6915
154,884.387
155,1001.98584
156,950.323
157,788.16034
158,727.1042
159,246.5326
160,198.31866
161,8.303887
162,0.0
163,0.0
164,0.0
165,0.00031673667
166,0.0
167,0.0
168,0.0038008317
169,0.0053845085
170,0.028822998
171,0.041492485
172,0.0044343066
173,16.429445
174,117.6534
175,328.37717
176,608.46484
177,592.26965
178,851.40216
179,900.07184
180,748.3852
181,664.3438
182,368.58118
183,238.19717
184,58.165424
185,3.0026596
186,0.03642466
187,0.10103892
188,0.05321168
189,0.05986313
190,0.05479535
191,0.04212592
192,0.07443311
193,0.12891154
194,0.06049653
195,0.035791174
196,0.060496584
197,11.699599
198,83.00708
199,142.5165
200,336.62268
201,655.0228
202,836.96814
203,617.86084
204,814.09186
205,608.2552
206,614.78815
207,279.85934
208,52.1405
209,2.6266952
210,0.002850625
211,0.0012669433
212,0.003484105
213,0.012035975
214,0.00253389
215,0.0
216,0.0019004167
217,0.0025338884
218,0.04275943
219,0.15013297
220,0.008235142
221,10.580578
222,165.49362
223,436.5445
224,665.5962
225,741.49316
226,776.96466
227,552.8518
228,1008.85767
229,404.59818
230,281.27133
231,252.74683
232,176.7737
233,6.884592
234,0.0
235,0.00063347333
236,0.00095020834
237,0.03737478
238,0.009502082
239,0.00158368
240,0.032307085
241,0.009818817
242,0.04782722
243,0.08425172
244,0.050677724
245,11.183016
246,164.4091
247,318.485
248,662.32135
249,881.86884
250,917.22565
251,1068.9617
252,518.70764
253,639.4642
254,372.83633
255,269.499
256,69.80195
257,7.788559
258,0.002217155
259,0.0034840966
260,0.0
261,0.00031673667
262,0.002850625
263,0.002850625
264,0.10167238
265,0.12606096
266,0.11687545
267,0.03040665
268,0.044976503
269,11.66287
270,197.03876
271,457.37418
272,694.1455
273,867.196
274,1000.91516
275,961.0362
276,1019.7738
277,800.08466
278,689.3285
279,441.71768
280,182.00787
281,11.626441
282,0.0
283,0.00031673667
284,0.00031673667
285,0.00031673667
286,0.0015836817
287,0.0
288,0.0025338917
289,0.0022171533
290,0.001266945
291,0.0031673633
292,0.00158368
293,13.161977
294,196.30473
295,456.37485
296,693.50586
297,879.57184
298,995.48615
299,1049.505
300,902.08765
301,889.21234
302,543.7175
303,398.74234
304,148.66216
305,5.4824004
306,0.0
307,0.0
308,0.0
309,0.00063347333
310,0.00063347333
311,0.0
312,0.0022171517
313,0.0044343066
314,0.039275244
315,0.065881155
316,0.1099073
317,6.710378
318,81.41988
319,251.91917
320,255.48334
321,267.228
322,356.37784
323,667.907
324,833.0917
325,712.9352
326,663.25366
327,428.3535
328,180.62007
329,3.303245
330,0.0
331,0.00031673667
332,0.00095021
333,0.0
334,0.0015836817
335,0.0038008334
336,0.008551867
337,0.011085772
338,0.00411757
339,0.0022171517
340,0.0044343015
341,12.702714
342,193.76747
343,447.52585
344,677.61816
345,853.503
346,917.0752
347,435.04733
348,617.5505
349,744.8435
350,652.1583
351,356.96317
352,181.93655
353,8.267761
354,0.0
355,0.0
356,0.0
357,0.0
358,0.068098284
359,0.030089874
360,0.00063347333
361,0.0022171533
362,0.042125907
363,0.0019004167
364,0.030406611
365,4.462184
366,85.12797
367,391.42517
368,508.31284
369,809.4193
370,913.025
371,816.39465
372,821.74536
373,554.4325
374,458.69632
375,477.12332
376,211.47847
377,9.873939
378,0.0
379,0.0
380,0.00063347165
381,0.027872795
382,0.00633472
383,0.004117575
384,0.0
385,0.00063347333
386,0.00031673667
387,0.00158368
388,0.08013425
389,11.556773
390,149.7773
391,290.09534
392,608.61615
393,677.3175
394,903.6165
395,1072.4226
396,870.4092
397,723.0828
398,511.31668
399,345.22397
400,184.37408
401,2.7248867
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0025338866
407,0.026922641
408,0.00095021
409,0.00063347333
410,0.0019004183
411,0.00095020834
412,0.00063347333
413,14.73393
414,198.55034
415,370.97168
416,665.678
417,353.315
418,978.918
419,927.707
420,846.1818
421,393.446
422,289.11084
423,430.469
424,105.307915
425,3.0599906
426,0.00316736
427,0.00570125
428,0.001266945
429,0.0025338884
430,0.006017993
431,0.0
432,0.07189903
433,0.04339285
434,0.033890758
435,0.02438868
